nohup: ignoring input
Read Training Data ...
Done ...
Read Testing Data ...
Done ...
Train Epoch 1 iter 184 Loss: 2.2368, Accuracy: 0.1200
Train Epoch 1 iter 185 Loss: 2.2848, Accuracy: 0.1400
Train Epoch 1 iter 186 Loss: 2.2168, Accuracy: 0.1400
Train Epoch 1 iter 187 Loss: 2.2783, Accuracy: 0.1600
Train Epoch 1 iter 188 Loss: 2.2713, Accuracy: 0.0400
Train Epoch 1 iter 189 Loss: 2.2680, Accuracy: 0.1400
Train Epoch 1 iter 190 Loss: 2.2215, Accuracy: 0.2200
Train Epoch 1 iter 191 Loss: 2.2540, Accuracy: 0.1600
Train Epoch 1 iter 192 Loss: 2.2696, Accuracy: 0.1400
Train Epoch 1 iter 193 Loss: 2.2983, Accuracy: 0.1400
Train Epoch 1 iter 194 Loss: 2.2273, Accuracy: 0.0800
Train Epoch 1 iter 195 Loss: 2.2721, Accuracy: 0.1800
Train Epoch 1 iter 196 Loss: 2.2211, Accuracy: 0.1600
Train Epoch 1 iter 197 Loss: 2.1740, Accuracy: 0.2000
Train Epoch 1 iter 198 Loss: 2.1057, Accuracy: 0.1200
Train Epoch 1 iter 199 Loss: 2.3444, Accuracy: 0.0600
Train Epoch 1 iter 200 Loss: 2.1881, Accuracy: 0.1000
Train Epoch 1 iter 201 Loss: 2.2330, Accuracy: 0.2000
Train Epoch 1 iter 202 Loss: 2.2749, Accuracy: 0.0800
Train Epoch 1 iter 203 Loss: 2.1666, Accuracy: 0.1400
Train Epoch 1 iter 204 Loss: 2.3318, Accuracy: 0.2000
Train Epoch 1 iter 205 Loss: 2.2585, Accuracy: 0.1200
Train Epoch 1 iter 206 Loss: 2.1874, Accuracy: 0.2200
Train Epoch 1 iter 207 Loss: 2.1774, Accuracy: 0.1800
Train Epoch 1 iter 208 Loss: 2.2695, Accuracy: 0.1800
Train Epoch 1 iter 209 Loss: 2.2974, Accuracy: 0.1400
Train Epoch 1 iter 210 Loss: 2.2439, Accuracy: 0.1000
Train Epoch 1 iter 211 Loss: 2.2488, Accuracy: 0.1400
Train Epoch 1 iter 212 Loss: 2.2778, Accuracy: 0.2000
Train Epoch 1 iter 213 Loss: 2.2611, Accuracy: 0.1200
Train Epoch 1 iter 214 Loss: 2.1729, Accuracy: 0.2400
Train Epoch 1 iter 215 Loss: 2.1867, Accuracy: 0.1600
Train Epoch 1 iter 216 Loss: 2.1053, Accuracy: 0.2000
Train Epoch 1 iter 217 Loss: 2.2429, Accuracy: 0.1000
Train Epoch 1 iter 218 Loss: 2.2912, Accuracy: 0.2000
